Date,T2M,GWETROOT,PRECTOTCORR,LAT,LON
2000-02-01,26.67,0.61,5.27,-10.25,34.25
2000-02-01,24.94,0.57,5.27,-10.25,34.75
2000-02-01,23.1,0.55,3.16,-10.25,35.25
2000-02-01,23.39,0.56,0.0,-10.25,35.75
2000-02-01,21.85,0.49,5.27,-9.75,33.25
2000-02-01,23.48,0.52,5.27,-9.75,33.75
2000-02-01,22.89,0.55,5.27,-9.75,34.25
2000-02-01,21.37,0.56,5.27,-9.75,34.75
2000-02-01,21.92,0.55,3.16,-9.75,35.25
2000-02-01,24.26,0.53,0.0,-9.75,35.75
2000-02-01,20.26,0.48,5.27,-9.25,33.25
2000-02-01,20.12,0.58,5.27,-9.25,33.75
2000-02-01,19.25,0.56,5.27,-9.25,34.25
2000-02-01,19.19,0.56,5.27,-9.25,34.75
2000-02-01,21.39,0.56,3.16,-9.25,35.25
2000-02-01,24.85,0.52,0.0,-9.25,35.75
2000-03-01,25.16,0.51,5.27,-16.75,33.25
2000-03-01,25.53,0.52,5.27,-16.75,33.75
2000-03-01,26.04,0.6,5.27,-16.75,34.25
2000-03-01,26.68,0.63,5.27,-16.75,34.75
2000-03-01,26.8,0.61,4.22,-16.75,35.25
2000-03-01,26.4,0.58,3.16,-16.75,35.75
2000-03-01,25.5,0.58,5.27,-16.25,33.25
2000-03-01,25.81,0.55,5.27,-16.25,33.75
2000-03-01,25.79,0.57,5.27,-16.25,34.25
2000-03-01,25.83,0.62,5.27,-16.25,34.75
2000-03-01,25.25,0.66,3.16,-16.25,35.25
2000-03-01,24.49,0.66,1.05,-16.25,35.75
2000-03-01,25.19,0.56,5.27,-15.75,33.25
2000-03-01,25.08,0.54,5.27,-15.75,33.75
2000-03-01,24.22,0.58,5.27,-15.75,34.25
2000-03-01,24.2,0.61,5.27,-15.75,34.75
2000-03-01,24.05,0.65,3.16,-15.75,35.25
2000-03-01,23.72,0.68,1.05,-15.75,35.75
2000-03-01,24.46,0.51,5.27,-15.25,33.25
2000-03-01,23.17,0.65,5.27,-15.25,33.75
2000-03-01,21.79,0.71,5.27,-15.25,34.25
2000-03-01,22.7,0.69,5.27,-15.25,34.75
2000-03-01,23.96,0.68,4.22,-15.25,35.25
2000-03-01,24.44,0.68,3.16,-15.25,35.75
2000-03-01,23.24,0.53,5.27,-14.75,33.25
2000-03-01,21.23,0.74,5.27,-14.75,33.75
2000-03-01,20.4,0.78,5.27,-14.75,34.25
2000-03-01,22.27,0.75,5.27,-14.75,34.75
2000-03-01,23.73,0.72,5.27,-14.75,35.25
2000-03-01,23.85,0.7,5.27,-14.75,35.75
2000-03-01,21.84,0.62,5.27,-14.25,33.25
2000-03-01,20.58,0.75,5.27,-14.25,33.75
2000-03-01,21.14,0.76,5.27,-14.25,34.25
2000-03-01,23.31,0.73,5.27,-14.25,34.75
2000-03-01,23.91,0.71,5.27,-14.25,35.25
2000-03-01,22.94,0.7,5.27,-14.25,35.75
2000-03-01,21.07,0.69,5.27,-13.75,33.25
2000-03-01,20.71,0.77,5.27,-13.75,33.75
2000-03-01,23.66,0.74,5.27,-13.75,34.25
2000-03-01,24.62,0.72,5.27,-13.75,34.75
2000-03-01,23.78,0.69,5.27,-13.75,35.25
2000-03-01,22.55,0.68,5.27,-13.75,35.75
2000-03-01,20.98,0.65,5.27,-13.25,33.25
2000-03-01,21.06,0.73,5.27,-13.25,33.75
2000-03-01,25.37,0.76,5.27,-13.25,34.25
2000-03-01,24.89,0.74,5.27,-13.25,34.75
2000-03-01,22.93,0.71,5.27,-13.25,35.25
2000-03-01,21.89,0.69,5.27,-13.25,35.75
2000-03-01,20.95,0.63,5.27,-12.75,33.25
2000-03-01,21.25,0.69,5.27,-12.75,33.75
2000-03-01,25.61,0.74,5.27,-12.75,34.25
2000-03-01,24.75,0.74,5.27,-12.75,34.75
2000-03-01,22.54,0.73,5.27,-12.75,35.25
2000-03-01,21.48,0.72,5.27,-12.75,35.75
2000-03-01,20.94,0.59,5.27,-12.25,33.25
2000-03-01,20.74,0.68,5.27,-12.25,33.75
2000-03-01,25.55,0.74,5.27,-12.25,34.25
2000-03-01,25.15,0.74,5.27,-12.25,34.75
2000-03-01,23.26,0.73,5.27,-12.25,35.25
2000-03-01,22.2,0.74,5.27,-12.25,35.75
2000-03-01,21.39,0.54,5.27,-11.75,33.25
